id,text
1,"Отличный магазин, купил айфон, доставили за 2 часа. Рекомендую!"
2,"Ужасный сервис. Клавиатура пришла с браком, а возвращать деньги отказываются."
3,"Обычный магазин техники, цены как у всех, ничего особенного."
4,"Заказывала пылесос, привезли не ту модель. Пришлось ждать обмена еще три дня."
5,"Очень вежливые консультанты, помогли выбрать ноутбук под мои задачи."
6,"Цены на сайте не соответствуют реальности. В магазине просят больше."
7,"Прекрасный выбор аксессуаров, нашел чехол даже на старую модель планшета."
8,"Доставка работает отвратительно. Курьер опоздал на четыре часа и даже не извинился."
9,"Купил мышку, сломалась через неделю. Поменяли по гарантии без проблем, спасибо."
10,"Магазин как магазин. Чисто, светло, но ассортимент мог бы быть и побольше."
11,"Лучшие цены в городе на видеокарты, мониторил неделю — здесь дешевле всего."
12,"Невозможно дозвониться до техподдержки. Музыка играет 20 минут, потом сброс."
13,"Оформил самовывоз, заказ собрали за 15 минут. Очень оперативно!"
14,"Гарантийный отдел работает очень медленно. Сдал телефон в ремонт месяц назад."
15,"Приятно удивлен бонусной программой, списал баллы и получил скидку 2000 рублей."
16,"В магазине очень навязчивые продавцы, шагу ступить не дают со своими страховками."
17,"Заказывал монитор, пришел с битым пикселем. Оформили возврат на месте."
18,"Хороший магазин, часто бывают акции и реальные скидки на технику."
19,"Сайт постоянно лагает, не смог оформить заказ с первого раза."
20,"Все супер! Купил приставку, работает идеально, дети довольны."
21,"Очень долго искал подходящий холодильник, здесь менеджер все грамотно объяснил."
22,"Прислали б/у товар под видом нового. На корпусе царапины, коробка вскрыта."
23,"Средний сервис. Доставили вовремя, но курьер был довольно грубым."
24,"Широкий ассортимент, есть бренды, которые сейчас сложно найти в других местах."
25,"Покупал колонку, звук отличный. Магазину спасибо за быструю отправку."
26,"В пункте выдачи огромные очереди, работал всего один сотрудник."
27,"Процесс оформления кредита занял вечность, хотя обещали за 10 минут."
28,"Качественная техника, покупаю здесь уже третий раз, пока без нареканий."
29,"Заказывал телевизор, коробка пришла сильно помятая. Хорошо, что экран цел."
30,"Нормальный сетевой магазин. Цены умеренные, выбор стандартный."
31,"Не положили гарантийный талон в коробку. Придется ехать к ним снова."
32,"Сотрудники колл-центра вообще не разбираются в характеристиках товара."
33,"Забрал заказ из постамата на следующий день. Очень удобно и быстро."
34,"Слишком много рекламы на почту после покупки. Спамят каждый день."
35,"Удобное приложение для заказа, все интуитивно понятно и наглядно."
36,"Купил чайник, он воняет пластиком на всю квартиру. Буду возвращать."
37,"Всегда вежливый персонал, приятно заходить в этот филиал на Ленина."
38,"Доставка платная и дорогая, даже при заказе на большую сумму."
39,"Взял планшет по акции, вышла отличная экономия. Доволен как слон."
40,"Информация о наличии на сайте врет. По факту товара в магазине нет."
41,"Техника оригинальная, проверил по серийным номерам на сайте производителя."
42,"Очень медленный склад. Заказ висел в статусе 'комплектуется' три дня."
43,"Понравилась функция сравнения товаров на сайте, очень помогла с выбором."
44,"Продали неисправные наушники. Пришлось трижды ходить, чтобы вернули деньги."
45,"Хорошая навигация в торговом зале, все категории товаров четко разделены."
46,"Курьер не позвонил за час, как договаривались. Приехал внезапно."
47,"Покупал стиральную машину с установкой. Мастера приехали в тот же день."
48,"Магазин не начисляет обещанные бонусы за покупку. Обман клиентов."
49,"Довольно тесный торговый зал, в выходные не протолкнуться."
50,"Отличный сервис! Подарили защитное стекло при покупке смартфона."
